product_id,product_name,category,description,approx_price_usd,price_basis,tractor_compatibility,key_features,connectivity
RAV-001,Viper 4+ Display,Display / Terminal,12.1 inch touchscreen display for guidance - rate control - mapping,5800.00,per unit,Universal ISOBUS - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,12.1 inch HD - full ISOBUS UT/TC - multi-product rate control - field mapping,WiFi / Bluetooth / CAN bus / ISOBUS
RAV-002,CR7 Field Computer,Display / Terminal,7 inch compact field computer for guidance and basic rate control,3200.00,per unit,Universal ISOBUS - all major brands,7 inch touchscreen - lightbar - GPS guidance - basic ISOBUS,CAN bus / serial / ISOBUS
RAV-003,RS1 GNSS Receiver,Guidance / GNSS,Multi-constellation GNSS receiver with integrated IMU for RTK,4800.00,per unit,Pairs with Viper 4+ or CR7 displays,GPS / GLONASS / Galileo / BeiDou - RTK - integrated IMU - fast convergence,CAN bus / serial / Bluetooth
RAV-004,SmarTrax MD Auto-Steer,Guidance / Auto-Steer,Full hydraulic auto-steer with valve integration for aftermarket install,7200.00,per system,Universal - JD / Case IH / NH / Fendt / MF / Kubota / Claas,Full hydraulic integration - sub-inch RTK - headland management,CAN bus / pairs with RS1
RAV-005,SmarTrax AT Auto-Steer,Guidance / Auto-Steer,Entry-level assisted steering with motor-on-column,3800.00,per system,Universal - hydraulic steering tractors,Motor-on-column - pass-to-pass guidance - simple install,CAN bus / pairs with CR7
RAV-006,Hawkeye Nozzle Control,Rate Control / Section Control,Individual nozzle pulse-width modulation for sprayers,350.00,per nozzle,Universal sprayer booms - self-propelled and pull-type,PWM per nozzle - turn compensation - pressure control - overlap elimination,CAN bus / ISOBUS
RAV-007,AccuFlow Rate Control,Rate Control / Liquid,Liquid product rate control system for NH3 - liquid fertilizer - chemicals,2800.00,per system,Universal applicators and sprayers,Multi-product control - flow meter - servo valve - VRA capable,CAN bus / serial
RAV-008,Slingshot RTK Network,Corrections / Subscription,Cellular RTK correction network delivering real-time sub-inch accuracy,1500.00,per year,Works with RS1 receivers,Sub-inch RTK via cellular - nationwide coverage - no base station,Cellular 4G/LTE
RAV-009,Slingshot Data Transfer,Data Management / Cloud,Wireless data sync between field and office via cellular modem,600.00,per year,All Raven displays with Slingshot modem,Prescription upload - as-applied download - real-time job monitoring,Cellular 4G/LTE / cloud
RAV-010,VSN Visual Guidance,Sensing / Machine Vision,Camera-based row guidance for cultivators and other row-crop implements,8500.00,per system,Universal - mounts on implement toolbar,Camera vision row detection - auto-steer implements between rows,CAN bus / pairs with Viper 4+
RAV-011,Sidekick Pro Injection System,Rate Control / Direct Injection,Direct chemical injection system for on-the-go product switching,4500.00,per system,Universal sprayers,Multi-product injection - eliminates tank mixing - on-the-fly switching,CAN bus / pairs with Viper 4+
RAV-012,Raven Autonomy Platform,Autonomy / Supervisory,Supervisory autonomy system for driverless tractor operation,Contact dealer,per tractor,Select platforms - currently DOT autonomous implement carrier,Path planning - obstacle detection - remote supervision - field automation,Cellular / WiFi / CAN bus
