rank,perf_tier,product_name,manufacturer,category,description,approx_price_usd,price_basis,hp_gain,torque_gain_pct,fuel_efficiency_gain_pct,estimated_roi_percent,payback_hours,fits_production,compatibility_notes
1,Top Tier,Donaldson PowerCore Air Filter,Donaldson,Engine / Intake,High-capacity air filtration - drops into Axion 900 factory airbox,380.00,per tractor,3,1,2,250,100,Yes - same dimensions as factory Axion 900 air filter,Direct replacement for 0011459180/0011459181
2,Top Tier,LED Light Conversion Kit,Grote Industries,Electrical / Lighting,Full LED conversion for Axion 900 production light housings,1200.00,per tractor,0,0,0,200,200,Yes - direct replacement in Axion 900 light housings,All Axion 920-960 cab and hood positions
3,Top Tier,Derale Auxiliary Trans Cooler,Derale Performance,Transmission / Cooling,Add-on CMATIC CVT oil cooler for Axion 900 trans lines,650.00,per tractor,0,0,0,200,200,Yes - inline on Axion 900 production trans cooler hoses,Critical for CMATIC CVT in heavy draft
4,Top Tier,aFe Power Intake Kit,aFe Power,Engine / Intake,High-flow intake for FPT Cursor 9 engine,450.00,per tractor,5,3,4,180,150,Yes - fits Axion 900 production airbox mounting,All Axion 920-960 FPT Cursor 9 engines
5,Top Tier,Steinbauer Power Module,Steinbauer Performance,Engine / ECU Tuning,Plug-in ECU module for FPT Cursor 9,1800.00,per tractor,35,12,8,150,400,Yes - plug-in on Axion 900 OBD port - reversible,Validated on Axion 940/950/960
6,Top Tier,AG Diesel Solutions Module,AG Diesel Solutions,Engine / ECU Tuning,Inline fuel controller for FPT Cursor 9 injection,1400.00,per tractor,25,10,6,130,350,Yes - inline connector on Axion 900 fuel rail,All Axion 900 FPT Cursor 9 engines
7,Top Tier,Setrab CMATIC CVT Cooler,Setrab Oil Coolers,Transmission / Cooling,Stacked-plate CMATIC cooler replacing Axion 900 unit,1400.00,per tractor,0,0,0,160,250,Yes - same fittings as Axion 900 CMATIC cooler,30% more capacity for CMATIC CVT
8,Top Tier,Outback eDriveX Steering,Hemisphere GNSS,Guidance / Steering,Aftermarket sub-inch auto-steer for Axion 900 steering,6500.00,per tractor,0,0,8,120,500,Yes - universal mount fits Axion 900 steering column,Alternative to factory GPS Pilot
9,Top Tier,Titan Bolt-On Wheel Weights,Titan Machinery,Ballast / Traction,Precision-fit wheel weights for Axion 900 rim bolt pattern,2400.00,per set,0,0,5,110,300,Yes - bolt-on to Axion 900 production rims,Matched to Claas Axion 900 axle ratings
10,Strong,Raven Viper 4+ Rate Controller,Raven Industries,Precision Ag / Rate Control,Universal VRA controller via Axion 900 ISOBUS,4200.00,per tractor,0,0,0,95,600,Yes - ISOBUS standard on all Axion 900 models,5-12% input savings from VRA
11,Strong,Ag Leader InCommand 1200,Ag Leader Technology,Precision Ag / Display,Universal ISOBUS display for Axion 900 cab,4800.00,per tractor,0,0,0,80,700,Yes - ISOBUS on Axion 900 - cab bracket included,Alternative to CEBIS terminal
12,Moderate,Firestone Maxi Traction IF,Firestone Ag,Tires / Traction,IF radial tires on Axion 900 production rims,8500.00,per set of 4,0,0,4,75,800,Yes - fits Axion 900 production rims,20% lower pressure - compaction reduction
13,Moderate,Mishimoto Upgraded Intercooler,Mishimoto Heavy Duty,Engine / Cooling,Larger core intercooler for Axion 900 factory mounting,1600.00,per tractor,5,4,2,60,800,Yes - drop-in using Axion 900 factory brackets,For tuned engines in hot conditions
14,Moderate,Prince High-Cap Hydraulic Pump,Prince Manufacturing,Hydraulics / Pump,Higher displacement pump for Axion 900 pump mount,2800.00,per tractor,0,0,0,70,600,Yes - same mount and ports as Axion 900 pump,15-20% more hydraulic flow
