part_number,part_name,category,description,compatibility,price_usd
84593100,Seed Meter Assembly,Seed Metering,Early Riser seed meter - complete with disc,2150 / 2160 Early Riser,720.00
84593110,Seed Disc,Seed Metering,Vacuum seed disc - corn 24 cell,2150 / 2160 Early Riser,85.00
84593111,Seed Disc Soybean,Seed Metering,Vacuum seed disc - soybean 130 cell,2150 / 2160 Early Riser,85.00
84593120,Vacuum Seal,Seed Metering,Meter housing vacuum seal ring,2150 / 2160 Early Riser,18.00
84593130,Seed Tube,Seed Delivery,Seed delivery tube - production,2150 / 2160 Early Riser,65.00
84593140,Seed Sensor,Monitoring,Optical seed sensor - per row,2150 / 2160 Early Riser,185.00
84593200,Gauge Wheel Arm LH,Row Unit,Gauge wheel arm assembly - left hand,2150 / 2160 Early Riser,155.00
84593201,Gauge Wheel Arm RH,Row Unit,Gauge wheel arm assembly - right hand,2150 / 2160 Early Riser,155.00
84593210,Gauge Wheel Tire,Row Unit,Gauge wheel tire and rim assembly,2150 / 2160 Early Riser,95.00
84593220,Closing Wheel,Row Unit,Standard rubber closing wheel,2150 / 2160 Early Riser,75.00
84593221,Closing Wheel Spike,Row Unit,Spiked closing wheel - OEM,2150 / 2160 Early Riser,110.00
84593230,Opener Disc,Row Unit,Seed opener disc blade - 15 inch,2150 / 2160 Early Riser,68.00
84593240,Depth Gauge,Row Unit,Depth adjustment gauge wheel assembly,2150 / 2160 Early Riser,120.00
84593250,Parallel Arm,Row Unit,Parallel linkage arm - upper,2150 / 2160 Early Riser,185.00
84593251,Parallel Arm Lower,Row Unit,Parallel linkage arm - lower,2150 / 2160 Early Riser,185.00
84593260,Downforce Spring,Row Unit,Mechanical downforce spring,2150 / 2160 Early Riser,45.00
84594100,Fertilizer Opener,Fertilizer System,2x2 fertilizer knife opener,2150 / 2160 Early Riser,165.00
84594110,Fertilizer Meter,Fertilizer System,Liquid fertilizer metering valve,2150 / 2160 Early Riser,280.00
84594120,Fertilizer Hose,Fertilizer System,Fertilizer delivery hose - per row,2150 / 2160 Early Riser,35.00
84595100,Row Cleaner,Row Cleaning,Residue manager row cleaner assembly,2150 / 2160 Early Riser,320.00
84595200,Toolbar Section,Frame / Toolbar,Center toolbar section,2150 / 2160 Early Riser (16-24 row),1850.00
84595210,Wing Toolbar,Frame / Toolbar,Wing toolbar section - per side,2150 / 2160 Early Riser,1450.00
84595220,Toolbar Hinge,Frame / Toolbar,Wing hinge assembly,2150 / 2160 Early Riser,380.00
84596100,Drive Motor,Drive System,Hydraulic drive motor - central,2150 / 2160 Early Riser,1650.00
84596110,Drive Chain,Drive System,Meter drive chain - per section,2150 / 2160 Early Riser,85.00
84596120,Drive Shaft,Drive System,Meter drive shaft assembly,2150 / 2160 Early Riser,420.00
84597100,AFS Pro 700 Monitor,Monitoring,AFS Pro 700 planter monitor display,2150 / 2160 Early Riser,2800.00
84597110,Harness Main,Electrical,Main planter wiring harness,2150 / 2160 Early Riser,680.00
84597120,Row Harness,Electrical,Individual row wiring harness,2150 / 2160 Early Riser,95.00
84597130,Marker Arm,Marker,Disc marker arm assembly,2150 / 2160 Early Riser,520.00
84597140,Marker Disc,Marker,Marker disc blade,2150 / 2160 Early Riser,85.00
