part_number,part_name,category,description,compatibility,price_usd
700740094,Seed Meter Assembly,Seed Metering,White vacuum meter assembly - complete,White 9800VE / 9800VER,690.00
700740100,Seed Disc,Seed Metering,Vacuum seed disc - corn,White 9800VE,80.00
700740101,Seed Disc Soybean,Seed Metering,Vacuum seed disc - soybean,White 9800VE,80.00
700740110,Vacuum Seal,Seed Metering,Meter vacuum seal ring,White 9800VE,16.00
700740120,Seed Tube,Seed Delivery,Seed delivery tube,White 9800VE,62.00
700740130,Seed Sensor,Monitoring,Optical seed sensor - per row,White 9800VE / 9800VER,180.00
700742010,Gauge Wheel Arm,Row Unit,Gauge wheel arm assembly,White 9800VE,148.00
700742020,Gauge Wheel Tire,Row Unit,Gauge wheel tire and rim,White 9800VE,92.00
700742030,Closing Wheel,Row Unit,Standard rubber closing wheel,White 9800VE,72.00
700742031,Closing Wheel Spike,Row Unit,Spiked closing wheel - OEM,White 9800VE,108.00
700742040,Opener Disc,Row Unit,Seed opener disc blade,White 9800VE,66.00
700742050,Depth Adjustment,Row Unit,Depth control assembly,White 9800VE,118.00
700742060,Parallel Arm Upper,Row Unit,Parallel linkage arm - upper,White 9800VE,178.00
700742061,Parallel Arm Lower,Row Unit,Parallel linkage arm - lower,White 9800VE,178.00
700742070,Downforce Spring,Row Unit,Mechanical downforce spring,White 9800VE,42.00
700744010,Fertilizer Opener,Fertilizer System,2x2 fertilizer knife opener,White 9800VE,158.00
700744020,Fertilizer Meter,Fertilizer System,Liquid fertilizer metering valve,White 9800VE,275.00
700746010,Row Cleaner,Row Cleaning,Residue manager row cleaner,White 9800VE,315.00
700748010,Toolbar Section,Frame / Toolbar,Center toolbar section,White 9800VE (12-24 row),1780.00
700748020,Wing Hinge,Frame / Toolbar,Wing fold hinge assembly,White 9800VE,360.00
700750010,Electric Drive Motor,Drive System,vSet electric row drive motor,White 9800VE,850.00
700750020,Drive Controller,Drive System,Electric drive row controller,White 9800VE,420.00
700752010,Planter Monitor,Monitoring,AGCO Fuse display for planter,White 9800VE / 9800VER,3200.00
700752020,Harness Main,Electrical,Main planter wiring harness,White 9800VE,650.00
700752030,Row Harness,Electrical,Individual row wiring harness,White 9800VE,92.00
700752040,CAN Module,Electrical,Row CAN bus communication module,White 9800VE,185.00
