product_id,product_name,category,description,approx_price_usd,price_basis,tractor_compatibility,key_features,connectivity
TRM-001,GFX-1260 Display,Display / Terminal,12.1 inch touchscreen precision ag display with Android OS - runs Precision-IQ and field mapping,6500.00,per unit,Universal ISOBUS - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,12.1 inch HD touchscreen - Android OS - multi-app support - ISOBUS UT/TC - camera inputs - USB,WiFi / Bluetooth / CAN bus / ISOBUS
TRM-002,GFX-750 Display,Display / Terminal,7 inch touchscreen display for guidance and basic precision ag operations,3800.00,per unit,Universal ISOBUS - all major brands,7 inch touchscreen - Precision-IQ - lightbar guidance - basic ISOBUS,WiFi / Bluetooth / CAN bus
TRM-003,NAV-900 GNSS Receiver,Guidance / GNSS,Dual-frequency GNSS receiver with RTK capability and integrated IMU,5200.00,per unit,Pairs with GFX-1260 or GFX-750 displays,GPS / GLONASS / Galileo / BeiDou - RTK capable - CenterPoint RTX,Serial / CAN / Bluetooth
TRM-004,NAV-500 GNSS Receiver,Guidance / GNSS,Entry-level GNSS receiver for sub-meter guidance applications,2800.00,per unit,Pairs with GFX-750 display,GPS / GLONASS - SBAS corrections - basic guidance,Serial / CAN
TRM-005,EZ-Pilot Pro Steering,Guidance / Auto-Steer,Hydraulic auto-steer system with motor-on-column for aftermarket installation,4800.00,per unit,Universal - hydraulic steering tractors - JD / Case IH / NH / Fendt / MF / Kubota / Claas,Motor-on-column - sub-inch accuracy with RTK - hands-free operation,CAN bus / pairs with NAV-900
TRM-006,EZ-Steer System,Guidance / Auto-Steer,Entry-level motor-on-wheel auto-steer for older tractors,3200.00,per unit,Universal - fits most steering wheels,Motor-on-wheel - pass-to-pass accuracy - simple install,Serial / pairs with GFX-750
TRM-007,CenterPoint RTX Correction,Corrections / Subscription,Satellite-delivered RTK-level correction service - no base station required,1800.00,per year,Works with NAV-900 / NAV-500 receivers,Sub-inch repeatable accuracy - satellite delivered - no cell or radio,Satellite L-band
TRM-008,RangePoint RTX Correction,Corrections / Subscription,Mid-accuracy satellite correction for guidance applications,900.00,per year,Works with NAV-900 / NAV-500 receivers,4 inch pass-to-pass accuracy - satellite delivered,Satellite L-band
TRM-009,Field-IQ Crop Input Control,Rate Control / Section Control,Section and rate control system for sprayers and planters,3500.00,per system,Universal ISOBUS - all ISOBUS-equipped implements,Individual nozzle control - variable rate - prescription maps - section shutoff,ISOBUS / CAN bus
TRM-010,TrueTracker Implement Steering,Implement Guidance,Active implement steering for precise row tracking on hillsides and contours,8500.00,per implement,Towed implements - planters / drills / strip-till bars,Hydraulic implement steering - maintains row accuracy on contours,CAN bus / pairs with NAV-900
TRM-011,Trimble Ag Software,Data Management / Software,Cloud-based farm data management platform with field records and analytics,600.00,per year,Platform agnostic - integrates with Trimble hardware,Field boundaries - yield data - prescription creation - reporting,Cloud / WiFi / cellular
TRM-012,TMX-2050 Display,Display / Terminal,Legacy 10.4 inch precision ag display still widely used in field,4500.00,per unit,Universal ISOBUS - all major brands,10.4 inch touchscreen - Connected Farm - ISOBUS - camera inputs,WiFi / Bluetooth / CAN bus
TRM-013,GreenSeeker Crop Sensor,Sensing / NDVI,Real-time crop canopy sensor for on-the-go variable rate nitrogen,4200.00,per sensor pair,Mounts on sprayer boom or toolbar - any brand,NDVI measurement - real-time VRA nitrogen - reduces N waste 10-15%,Serial / CAN - integrates with Field-IQ
TRM-014,WeedSeeker 2,Sensing / Spot Spray,Machine vision spot-spray system detecting weeds in fallow or stubble,1200.00,per sensor,Mounts on sprayer boom - any brand,Individual nozzle weed detection - 90% herbicide savings in fallow,CAN bus / serial
TRM-015,YieldTrak Yield Monitor,Yield Monitoring,Aftermarket yield monitor for combines without factory yield systems,3800.00,per unit,Universal - adapts to most combine clean grain elevators,Mass-flow sensor - moisture sensor - GPS mapping - calibratable,CAN bus / serial / GPS
