part_number,part_name,category,description,compatibility,price_usd
84593378,Engine Oil Filter,Engine,Engine oil filter element,Magnum 250 / 280 / 310 / 340 / 380,24.00
84412164,Fuel Filter Primary,Engine,Primary fuel filter / water separator,Magnum Series (FPT Cursor 9),30.00
84412165,Fuel Filter Secondary,Engine,Secondary fuel filter element,Magnum Series (FPT Cursor 9),34.00
87682999,Air Filter Outer,Engine,Engine air filter - outer element,Magnum Series,82.00
87683000,Air Filter Inner,Engine,Engine air filter - inner safety element,Magnum Series,55.00
84390267,DEF Filter,Engine,Diesel exhaust fluid filter,Magnum Series (Tier 4B),40.00
87803192,Turbocharger,Engine,Turbocharger assembly - Holset HE400,Magnum 310 / 340 / 380,3800.00
87802496,Water Pump,Engine,Engine coolant water pump,Magnum Series,520.00
87800789,Thermostat,Engine,Engine thermostat housing assembly,Magnum Series,72.00
87803500,Serpentine Belt,Engine,Engine accessory drive belt,Magnum Series,105.00
84468234,CVT Transmission,Transmission,CVXDrive CVT transmission - reman,Magnum 310 CVT / 340 CVT / 380 CVT,9200.00
84195675,Powershift Transmission,Transmission,Full Powershift 18x4 transmission - reman,Magnum 250 PS / 280 PS,7800.00
84468010,Transmission Filter,Transmission,Transmission oil filter element,Magnum Series,48.00
84468011,Transmission Oil Cooler,Transmission,Transmission oil cooler assembly,Magnum Series,950.00
84195680,PTO Clutch Pack,Transmission,PTO clutch pack assembly - 1000 RPM,Magnum Series,1420.00
84347336,Front Axle Assembly,Axles/Steering,MFWD front axle assembly - heavy duty,Magnum Series,5200.00
84239359,Steering Valve,Axles/Steering,Steering control valve - orbital,Magnum Series,820.00
84195700,Tie Rod Assembly,Axles/Steering,Outer tie rod end - MFWD,Magnum Series,155.00
84468050,Hydraulic Pump,Hydraulics,Main hydraulic piston pump - variable,Magnum Series,2680.00
84468051,Hydraulic Filter,Hydraulics,Hydraulic system return filter,Magnum Series,42.00
84239400,SCV Coupler,Hydraulics,Selective control valve quick coupler,Magnum Series,90.00
84347350,Hitch Cylinder,Hydraulics,3-point hitch lift cylinder,Magnum Series,720.00
84412300,AFS Pro 1200,Electrical,AFS Pro 1200 display monitor,Magnum Series (2020+),3200.00
84593410,AccuGuide Receiver,Electrical,AccuGuide GNSS receiver,Magnum Series,4200.00
87683050,Cab Air Filter,Cab,Cab recirculation air filter,Magnum Series,38.00
87683051,Cab Fresh Air Filter,Cab,Cab fresh air intake filter,Magnum Series,45.00
84468100,Seat Assembly,Cab,Multicontroller armrest seat - leather,Magnum Series,1950.00
84593450,LED Work Light Kit,Electrical,Premium LED light package,Magnum Series,480.00
84468120,Alternator,Electrical,200 amp alternator assembly,Magnum Series,690.00
84347400,Front Weight Bracket,Ballast,Front weight mounting bracket,Magnum Series,410.00
84239500,Rear Wheel Weight,Ballast,Rear wheel weight - 1000 lb,Magnum Series,465.00
84593480,AccuGuide Steering Kit,Guidance,AccuGuide automated steering system,Magnum Series,3400.00
