product_id,product_name,category,description,approx_price_usd,price_basis,tractor_compatibility,key_features,connectivity
TOP-001,X35 Console,Display / Terminal,12.1 inch touchscreen precision ag display with Horizon software,6200.00,per unit,Universal ISOBUS - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,12.1 inch HD - Horizon software - ISOBUS UT/TC - mapping - rate control,WiFi / Bluetooth / CAN bus / ISOBUS
TOP-002,X25 Console,Display / Terminal,8 inch touchscreen for guidance and implement control,3500.00,per unit,Universal ISOBUS - all major brands,8 inch touchscreen - guidance - basic ISOBUS - lightbar,CAN bus / Bluetooth / ISOBUS
TOP-003,AGI-4 GNSS Receiver,Guidance / GNSS,Dual-antenna multi-constellation GNSS with integrated heading and RTK,6800.00,per unit,Pairs with X35 or X25 consoles,Dual antenna heading - GPS / GLONASS / Galileo / BeiDou - RTK - fast init,CAN bus / serial / Bluetooth
TOP-004,AGI-3 GNSS Receiver,Guidance / GNSS,Single-antenna GNSS receiver for guidance applications,3800.00,per unit,Pairs with X25 console,GPS / GLONASS - SBAS / TopNET corrections,CAN bus / serial
TOP-005,AES-35 Auto-Steer,Guidance / Auto-Steer,Hydraulic auto-steer with OEM-level valve integration,7500.00,per system,JD / Case IH / NH / Fendt / MF - model-specific valve kits,Full hydraulic integration - sub-inch with RTK - headland sequencing,CAN bus / pairs with AGI-4
TOP-006,System 350 Auto-Steer,Guidance / Auto-Steer,Motor-on-column assisted steering for aftermarket install,4500.00,per system,Universal - hydraulic steering tractors,Motor-on-column - multiple patterns - expandable,CAN bus / pairs with AGI-3
TOP-007,TopNET Live Corrections,Corrections / Subscription,Global satellite correction service for RTK-level accuracy,2000.00,per year,Works with AGI-4 / AGI-3 receivers,Sub-inch accuracy - satellite / cellular delivery - no base station,Satellite / cellular
TOP-008,Apollo Rate Control,Rate Control / Section Control,Multi-product rate control and section management system,3600.00,per system,Universal ISOBUS implements,Section control - multi-product VRA - overlap elimination,CAN bus / ISOBUS
TOP-009,CropSpec Crop Sensor,Sensing / NDVI,Real-time crop canopy sensor for variable rate top-dress nitrogen,4500.00,per sensor pair,Mounts on sprayer boom - any brand,Active NDVI sensor - works day and night - real-time VRA nitrogen,CAN bus / serial
TOP-010,Norac Boom Height Control,Sensing / Boom Control,Ultrasonic boom height sensors for automatic sprayer boom leveling,6500.00,per system,Universal sprayer booms,Ultrasonic sensors - automatic boom height - roll compensation,CAN bus / pairs with X35
TOP-011,Topcon Agriculture Cloud,Data Management / Cloud,Cloud platform for field data management and fleet tracking,700.00,per year,All Topcon consoles with WiFi,Prescription upload - as-applied download - fleet GPS tracking,WiFi / cellular / cloud
TOP-012,Yield Monitoring System,Yield Monitoring,Aftermarket yield monitor for multi-brand combines,4000.00,per unit,JD / Case IH / NH / Claas / AGCO combines,Mass-flow - moisture - GPS mapping - elevator speed compensation,CAN bus / serial
