product_id,product_name,category,description,approx_price_usd,price_basis,equipment_compatibility,key_features,connectivity
CFV-001,FieldView Drive,Data Collection / Hardware,In-cab device collecting planting - spraying - harvest data from equipment CAN bus,0.00,included with subscription,JD / Case IH / NH / AGCO combines and planters - ISO 11783 / J1939,Automatic data collection from CAN bus - plug-and-play - no wiring changes,CAN bus / cellular / Bluetooth
CFV-002,FieldView Plus Subscription,Data Platform / Subscription,Core data platform with satellite imagery - field health - scouting - data layers,500.00,per year,Platform agnostic - works with any equipment via FieldView Drive or manual upload,Satellite imagery - field health maps - scouting notes - basic analytics - data storage,Cellular / WiFi / cloud
CFV-003,FieldView Prime Subscription,Data Platform / Subscription,Premium platform adding yield analysis - scripts - advanced analytics,1500.00,per year,Platform agnostic - full integration with FieldView Drive and seed advisor,Yield analysis - seed performance scripts - advanced weather - field comparison,Cellular / WiFi / cloud
CFV-004,Seed Advisor,Analytics / Prescriptions,Data-driven seed selection and variable rate seeding prescriptions,Included with Prime,per year,Bayer / DeKalb / Asgrow seed portfolio,Seed placement optimization - VRS prescriptions - hybrid-by-environment matching,Cloud / integrates with planter monitors
CFV-005,FieldView Cab App,Display / Mobile,iPad-based in-cab app for real-time field visualization during operations,0.00,included with subscription,iPad - pairs with FieldView Drive,Live coverage map - field health overlay - scouting - photo geo-tag,Bluetooth / cellular / WiFi
CFV-006,R7 Field Monitoring,Sensing / Satellite,High-resolution satellite crop health monitoring with anomaly detection,Included with Plus/Prime,per field,All fields - no equipment required,Regular satellite imagery - NDVI - crop health anomaly alerts,Cloud / satellite
CFV-007,Field Health Imagery,Analytics / Crop Health,Multi-layer crop health analysis from satellite and aerial sources,Included with Plus/Prime,per field,All fields,Zone management - temporal analysis - problem area identification,Cloud / satellite
CFV-008,Yield Analysis,Analytics / Harvest,Post-harvest yield map analysis with profitability layers,Included with Prime,per field,All combines with yield monitors via FieldView Drive,Yield map cleaning - hybrid performance comparison - profit/loss by zone,Cloud
CFV-009,Manual Data Upload,Data Collection / Software,Web and mobile data upload for operations without FieldView Drive,0.00,included with subscription,Any equipment - manual CSV or shapefile upload,Upload planting - application - harvest data from any source,Cloud / web / mobile
CFV-010,Industry Connect API,Data Integration / API,Data sharing API connecting FieldView with third-party platforms,0.00,API access,Integrates with JD Operations Center - CNH PLM - AGCO Fuse - Trimble - Ag Leader,Two-way data sharing - prescription push - as-applied pull,API / cloud
