part_number,part_name,category,description,compatibility,price_usd
820-199C,Seed Meter Assembly,Seed Metering,Precision metering unit - complete,YP-2425A / YP-2425A-DR,680.00
820-167C,Seed Disc,Seed Metering,Vacuum seed disc - corn,YP-2425A,82.00
820-168C,Seed Disc Soybean,Seed Metering,Vacuum seed disc - soybean,YP-2425A,82.00
820-170C,Vacuum Seal,Seed Metering,Meter vacuum seal ring,YP-2425A,17.00
820-180C,Seed Tube,Seed Delivery,Seed delivery tube,YP-2425A,60.00
820-185C,Seed Sensor,Monitoring,Optical seed sensor - per row,YP-2425A,170.00
822-100C,Gauge Wheel Arm,Row Unit,Gauge wheel arm assembly,YP-2425A,145.00
822-110C,Gauge Wheel Tire,Row Unit,Gauge wheel tire and rim,YP-2425A,90.00
822-120C,Closing Wheel,Row Unit,Standard rubber closing wheel,YP-2425A,72.00
822-121C,Closing Wheel Spike,Row Unit,Spiked closing wheel,YP-2425A,108.00
822-130C,Opener Disc,Row Unit,Seed opener disc blade - 15 inch,YP-2425A,64.00
822-140C,Depth Adjustment,Row Unit,Depth control assembly,YP-2425A,115.00
822-150C,Parallel Arm Upper,Row Unit,Parallel linkage arm - upper,YP-2425A,170.00
822-151C,Parallel Arm Lower,Row Unit,Parallel linkage arm - lower,YP-2425A,170.00
822-160C,Downforce Spring,Row Unit,Mechanical downforce spring,YP-2425A,40.00
824-100C,Fertilizer Opener,Fertilizer System,2x2 fertilizer knife opener,YP-2425A,155.00
824-110C,Fertilizer Meter,Fertilizer System,Liquid fertilizer metering valve,YP-2425A,270.00
826-100C,Row Cleaner,Row Cleaning,Residue manager assembly,YP-2425A,305.00
828-100C,Toolbar Section,Frame / Toolbar,Center toolbar section,YP-2425A (16-24 row),1700.00
828-110C,Wing Hinge,Frame / Toolbar,Wing fold hinge assembly,YP-2425A,350.00
830-100C,Drive Motor,Drive System,Hydraulic meter drive motor,YP-2425A,1500.00
830-110C,Drive Chain,Drive System,Meter drive chain assembly,YP-2425A,75.00
832-100C,Monitor Display,Monitoring,Great Plains planter monitor,YP-2425A,2200.00
832-110C,Harness Main,Electrical,Main planter wiring harness,YP-2425A,580.00
832-120C,Row Harness,Electrical,Individual row wiring harness,YP-2425A,85.00
834-100C,Marker Arm,Marker,Disc marker arm assembly,YP-2425A,465.00
