product_id,product_name,category,description,approx_price_usd,price_basis,tractor_compatibility,key_features,connectivity
AGL-001,InCommand 1200 Display,Display / Terminal,12.1 inch touchscreen precision ag display with full ISOBUS and guidance,5500.00,per unit,Universal ISOBUS - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,12.1 inch HD touchscreen - ISOBUS UT/TC - guidance - rate control - mapping - DirectCommand,WiFi / Bluetooth / CAN bus / ISOBUS
AGL-002,InCommand 800 Display,Display / Terminal,8 inch touchscreen for guidance and basic implement control,3600.00,per unit,Universal ISOBUS - all major brands,8 inch touchscreen - lightbar - guidance - basic ISOBUS - rate control,CAN bus / Bluetooth / ISOBUS
AGL-003,GPS 7500 GNSS Receiver,Guidance / GNSS,Multi-constellation GNSS with integrated RTK and TerraStar corrections,5500.00,per unit,Pairs with InCommand displays,GPS / GLONASS / Galileo / BeiDou - RTK base/rover - TerraStar capable,CAN bus / serial / radio
AGL-004,GPS 6500 GNSS Receiver,Guidance / GNSS,Mid-range GNSS receiver for guidance and auto-steer applications,3500.00,per unit,Pairs with InCommand displays,GPS / GLONASS - SBAS - sub-foot guidance,CAN bus / serial
AGL-005,SteerCommand Auto-Steer,Guidance / Auto-Steer,Full hydraulic auto-steer with valve block for integrated steering,6800.00,per system,Universal - JD / Case IH / NH / Fendt / MF / Kubota / Claas,Full hydraulic - sub-inch with RTK - headland management - contour,CAN bus / pairs with GPS 7500
AGL-006,OnTrac3 Assisted Steering,Guidance / Auto-Steer,Motor-on-column assisted steering for aftermarket install,4200.00,per system,Universal - hydraulic steering tractors,Motor-on-column - multiple guidance patterns - simple install,CAN bus / pairs with GPS 6500
AGL-007,DirectCommand Rate Control,Rate Control / Section Control,Multi-channel rate control for sprayers - planters - spreaders,3800.00,per system,Universal ISOBUS implements,Up to 48 section control - multi-product - VRA - overlap management,CAN bus / ISOBUS
AGL-008,SurePoint Auto-Swath,Rate Control / Section Control,Automatic section control for eliminating overlap on sprayers and planters,2200.00,per system,Integrates with InCommand displays and DirectCommand,Automatic on/off at boundaries and previously covered areas,CAN bus / ISOBUS
AGL-009,OptRx Crop Sensor,Sensing / NDVI,On-the-go crop canopy sensor for variable rate nitrogen application,3800.00,per sensor pair,Mounts on sprayer boom or toolbar - any brand,Dual-wavelength NDVI - real-time VRA nitrogen - biomass mapping,CAN bus / serial
AGL-010,Ag Leader SMS Software,Data Management / Desktop,Desktop precision ag data management and prescription creation software,2500.00,per license,Platform agnostic,Yield mapping - soil sampling - prescription creation - as-applied analysis,USB / cloud export
AGL-011,AgFiniti Cloud Platform,Data Management / Cloud,Cloud-based data management for wireless field data transfer,800.00,per year,All InCommand displays with WiFi,Wireless prescription upload - as-applied sync - fleet management,WiFi / cellular / cloud
AGL-012,Yield Monitor Integration,Yield Monitoring,Aftermarket yield monitor kit for combines,4200.00,per unit,JD / Case IH / NH / Claas / AGCO combines,Mass-flow - moisture - mapping - calibration wizard - multi-crop,CAN bus / serial
AGL-013,Mojo Wire Seed Tube Guard,Planter / Seed Delivery,Stainless steel seed tube wire reducing static and bounce,15.00,per row,JD 7200 / 7300 / universal finger pickup planters,Reduces seed ricochet in delivery tube - improves singulation,N/A - mechanical part
AGL-014,SeedCommand Population Control,Planter / Variable Rate,Electric drive variable rate planting with individual row shutoff,1100.00,per row,JD 1720 / 7200 / 7300 / Kinze / Case IH planters,Electric drive - variable rate by row - individual shutoff - multi-hybrid,CAN bus / ISOBUS
AGL-015,Hydraulic Down Force,Planter / Down Force,Active hydraulic downforce for planter row units,1400.00,per row,JD 1720 / 1725 / 7200 / 7300 / Kinze / Case IH planters,Active hydraulic - row-by-row load sensing - automatic adjustment,CAN bus / pairs with InCommand
