product_id,product_name,category,description,approx_price_usd,price_basis,tractor_compatibility,key_features,connectivity
HEM-001,Outback MAX Display,Display / Terminal,9 inch touchscreen guidance and precision ag display,4200.00,per unit,Universal ISOBUS - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,9 inch HD touchscreen - guidance - ISOBUS - rate control - field mapping,WiFi / Bluetooth / CAN bus / ISOBUS
HEM-002,Outback A321 GNSS Receiver,Guidance / GNSS,Multi-constellation GNSS with Atlas L-band corrections,4500.00,per unit,Pairs with Outback MAX or eDriveX,GPS / GLONASS / Galileo / BeiDou - Atlas corrections - RTK capable,CAN bus / serial / Bluetooth
HEM-003,Outback A222 GNSS Receiver,Guidance / GNSS,Entry-level GNSS receiver for sub-foot guidance,2200.00,per unit,Pairs with Outback displays,GPS / GLONASS - SBAS corrections,CAN bus / serial
HEM-004,eDriveX Auto-Steer,Guidance / Auto-Steer,Hydraulic auto-steer with universal tractor fitment,6500.00,per system,Universal - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,Full hydraulic - sub-inch with RTK - headland management - universal mount,CAN bus / pairs with A321
HEM-005,eDriveTC Motor-on-Column,Guidance / Auto-Steer,Motor-on-column assisted steering for budget auto-steer,3500.00,per system,Universal - hydraulic steering tractors,Motor-on-column - pass-to-pass - simple bolt-on install,CAN bus / pairs with A222
HEM-006,Atlas Correction Service,Corrections / Subscription,Global satellite L-band correction for sub-decimeter accuracy,1200.00,per year,Works with A321 / A222 receivers,Sub-decimeter accuracy - no base station or cell required - global,Satellite L-band
HEM-007,Atlas RTK Correction,Corrections / Subscription,RTK-level correction service via L-band satellite,2200.00,per year,Works with A321 receiver,Sub-inch accuracy - satellite delivered RTK - no base station,Satellite L-band
HEM-008,Outback Section Control,Rate Control / Section Control,Automatic section shutoff for sprayers and planters,2400.00,per system,Integrates with Outback MAX display,Auto on/off at boundaries - overlap elimination - ISOBUS or valve control,CAN bus / ISOBUS
HEM-009,Outback Rate Control,Rate Control / Variable Rate,Variable rate application control for liquid and granular,2800.00,per system,Integrates with Outback MAX display,Multi-product VRA - prescription driven - servo valve control,CAN bus / ISOBUS
HEM-010,Outback Connect Cloud,Data Management / Cloud,Cloud platform for wireless data management,500.00,per year,All Outback displays with WiFi,Prescription upload - as-applied sync - simple fleet view,WiFi / cloud
