product_id,product_name,category,description,approx_price_usd,price_basis,tractor_compatibility,key_features,connectivity
RCH-001,PSR ISO Auto-Steer,Guidance / Auto-Steer,Full hydraulic ISOBUS auto-steer with OEM-level valve integration,8500.00,per system,JD 6R/7R/8R/9R - Case IH Magnum/Steiger - NH T7/T8/T9 - Fendt 700/900/1000 - Claas Axion,Full hydraulic via OEM valves - ISOBUS compatible - sub-inch with RTK - no aftermarket valve kit,CAN bus / ISOBUS
RCH-002,PSR Top Auto-Steer,Guidance / Auto-Steer,Motor-on-column steering for tractors without hydraulic valve access,4800.00,per system,Universal - JD / Case IH / NH / Fendt / MF / Kubota / Claas / Challenger,Motor-on-column - compact design - high torque motor - ISOBUS,CAN bus / ISOBUS
RCH-003,ISOBUS Steering Controller,Guidance / Controller,ISOBUS steering controller ECU for integration with any ISOBUS display,2800.00,per unit,Pairs with PSR ISO or PSR Top systems,ISOBUS TC-GEO - works with any ISOBUS UT display - multi-brand compatible,CAN bus / ISOBUS
RCH-004,Hydraulic Valve Kit JD,Guidance / Valve Kit,Model-specific hydraulic valve kit for John Deere tractor integration,1800.00,per kit,JD 6R / 7R / 8R / 9R Series,Taps into JD factory steering hydraulics - no drilling or permanent modification,Hydraulic / mechanical
RCH-005,Hydraulic Valve Kit CNH,Guidance / Valve Kit,Model-specific hydraulic valve kit for Case IH and New Holland,1800.00,per kit,Case IH Magnum / Steiger - NH T7 / T8 / T9,Taps into CNH factory steering hydraulics - reversible install,Hydraulic / mechanical
RCH-006,Hydraulic Valve Kit AGCO,Guidance / Valve Kit,Model-specific hydraulic valve kit for Fendt / MF / Challenger,1800.00,per kit,Fendt 700 / 900 / 1000 - MF 8700S - Challenger MT700 / MT800,Taps into AGCO factory steering hydraulics - reversible install,Hydraulic / mechanical
RCH-007,Hydraulic Valve Kit Claas,Guidance / Valve Kit,Model-specific hydraulic valve kit for Claas tractors,1800.00,per kit,Claas Arion 600 / Axion 800 / Axion 900 / Xerion,Taps into Claas factory steering hydraulics - no permanent modification,Hydraulic / mechanical
RCH-008,Wheel Angle Sensor,Guidance / Sensor,High-precision wheel angle sensor for steering feedback,650.00,per unit,Universal - fits any tractor with MFWD front axle,Contactless sensor - high resolution - required for hydraulic auto-steer,CAN bus / analog
RCH-009,Implement Steering PSR,Implement Guidance,Active implement steering for towed planters and drills,9500.00,per implement,Towed implements with hydraulic hitch cylinders,Hydraulic implement steering - row tracking on contours and hillsides,CAN bus / ISOBUS
RCH-010,Touch Steer Controller,Guidance / Manual Aid,Steering knob controller for manual guidance assistance,350.00,per unit,Universal - fits any tractor steering wheel,Haptic feedback knob - guides operator along A-B line - low-cost option,CAN bus / pairs with ISOBUS display
